
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 55.3000, H(p,q)-H0 = 0.0000000021853098, L(p,q)-L0 = 0.0000000000000047
t = 55.4000, H(p,q)-H0 = 0.0000000021827406, L(p,q)-L0 = 0.0000000000000046
t = 55.5000, H(p,q)-H0 = 0.0000000021784419, L(p,q)-L0 = 0.0000000000000049
t = 55.6000, H(p,q)-H0 = 0.0000000021708755, L(p,q)-L0 = 0.0000000000000050
t = 55.7000, H(p,q)-H0 = 0.0000000021567761, L(p,q)-L0 = 0.0000000000000053
t = 55.8000, H(p,q)-H0 = 0.0000000021287814, L(p,q)-L0 = 0.0000000000000049
t = 55.9000, H(p,q)-H0 = 0.0000000020692630, L(p,q)-L0 = 0.0000000000000052
t = 56.0000, H(p,q)-H0 = 0.0000000019337545, L(p,q)-L0 = 0.0000000000000053
t = 56.1000, H(p,q)-H0 = 0.0000000016080133, L(p,q)-L0 = 0.0000000000000050
t = 56.2000, H(p,q)-H0 = 0.0000000008240018, L(p,q)-L0 = 0.0000000000000054
t = 56.3000, H(p,q)-H0 = -0.0000000007777232, L(p,q)-L0 = 0.0000000000000053
t = 56.4000, H(p,q)-H0 = -0.0000000022964355, L(p,q)-L0 = 0.0000000000000052
t = 56.5000, H(p,q)-H0 = -0.0000000006980465, L(p,q)-L0 = 0.0000000000000052
t = 56.6000, H(p,q)-H0 = -0.0000000007108090, L(p,q)-L0 = 0.0000000000000051
t = 56.7000, H(p,q)-H0 = -0.0000000022911208, L(p,q)-L0 = 0.0000000000000050
t = 56.8000, H(p,q)-H0 = -0.0000000007567429, L(p,q)-L0 = 0.0000000000000050
t = 56.9000, H(p,q)-H0 = 0.0000000008394492, L(p,q)-L0 = 0.0000000000000053
t = 57.0000, H(p,q)-H0 = 0.0000000016162609, L(p,q)-L0 = 0.0000000000000052
t = 57.1000, H(p,q)-H0 = 0.0000000019378454, L(p,q)-L0 = 0.0000000000000050
t = 57.2000, H(p,q)-H0 = 0.0000000020713116, L(p,q)-L0 = 0.0000000000000049
t = 57.3000, H(p,q)-H0 = 0.0000000021298465, L(p,q)-L0 = 0.0000000000000049
t = 57.4000, H(p,q)-H0 = 0.0000000021573541, L(p,q)-L0 = 0.0000000000000040
t = 57.5000, H(p,q)-H0 = 0.0000000021712041, L(p,q)-L0 = 0.0000000000000041
t = 57.6000, H(p,q)-H0 = 0.0000000021786368, L(p,q)-L0 = 0.0000000000000044
t = 57.7000, H(p,q)-H0 = 0.0000000021828603, L(p,q)-L0 = 0.0000000000000044
t = 57.8000, H(p,q)-H0 = 0.0000000021853853, L(p,q)-L0 = 0.0000000000000042
t = 57.9000, H(p,q)-H0 = 0.0000000021869638, L(p,q)-L0 = 0.0000000000000044
t = 58.0000, H(p,q)-H0 = 0.0000000021879897, L(p,q)-L0 = 0.0000000000000040
t = 58.1000, H(p,q)-H0 = 0.0000000021886802, L(p,q)-L0 = 0.0000000000000041
t = 58.2000, H(p,q)-H0 = 0.0000000021891585, L(p,q)-L0 = 0.0000000000000038
t = 58.3000, H(p,q)-H0 = 0.0000000021894993, L(p,q)-L0 = 0.0000000000000039
t = 58.4000, H(p,q)-H0 = 0.0000000021897474, L(p,q)-L0 = 0.0000000000000038
t = 58.5000, H(p,q)-H0 = 0.0000000021899316, L(p,q)-L0 = 0.0000000000000038
t = 58.6000, H(p,q)-H0 = 0.0000000021900710, L(p,q)-L0 = 0.0000000000000042
t = 58.7000, H(p,q)-H0 = 0.0000000021901776, L(p,q)-L0 = 0.0000000000000042
t = 58.8000, H(p,q)-H0 = 0.0000000021902602, L(p,q)-L0 = 0.0000000000000047
t = 58.9000, H(p,q)-H0 = 0.0000000021903247, L(p,q)-L0 = 0.0000000000000050
t = 59.0000, H(p,q)-H0 = 0.0000000021903750, L(p,q)-L0 = 0.0000000000000052
t = 59.1000, H(p,q)-H0 = 0.0000000021904141, L(p,q)-L0 = 0.0000000000000052
t = 59.2000, H(p,q)-H0 = 0.0000000021904442, L(p,q)-L0 = 0.0000000000000047
t = 59.3000, H(p,q)-H0 = 0.0000000021904675, L(p,q)-L0 = 0.0000000000000052
t = 59.4000, H(p,q)-H0 = 0.0000000021904839, L(p,q)-L0 = 0.0000000000000048
t = 59.5000, H(p,q)-H0 = 0.0000000021904950, L(p,q)-L0 = 0.0000000000000044
t = 59.6000, H(p,q)-H0 = 0.0000000021905014, L(p,q)-L0 = 0.0000000000000043
t = 59.7000, H(p,q)-H0 = 0.0000000021905032, L(p,q)-L0 = 0.0000000000000042
t = 59.8000, H(p,q)-H0 = 0.0000000021905006, L(p,q)-L0 = 0.0000000000000043
t = 59.9000, H(p,q)-H0 = 0.0000000021904931, L(p,q)-L0 = 0.0000000000000044
t = 60.0000, H(p,q)-H0 = 0.0000000021904805, L(p,q)-L0 = 0.0000000000000043
t = 60.1000, H(p,q)-H0 = 0.0000000021904624, L(p,q)-L0 = 0.0000000000000042
t = 60.2000, H(p,q)-H0 = 0.0000000021904379, L(p,q)-L0 = 0.0000000000000040
t = 60.3000, H(p,q)-H0 = 0.0000000021904059, L(p,q)-L0 = 0.0000000000000042
t = 60.4000, H(p,q)-H0 = 0.0000000021903648, L(p,q)-L0 = 0.0000000000000044
t = 60.5000, H(p,q)-H0 = 0.0000000021903120, L(p,q)-L0 = 0.0000000000000044
t = 60.6000, H(p,q)-H0 = 0.0000000021902444, L(p,q)-L0 = 0.0000000000000043
t = 60.7000, H(p,q)-H0 = 0.0000000021901574, L(p,q)-L0 = 0.0000000000000043
t = 60.8000, H(p,q)-H0 = 0.0000000021900446, L(p,q)-L0 = 0.0000000000000041
t = 60.9000, H(p,q)-H0 = 0.0000000021898974, L(p,q)-L0 = 0.0000000000000042
t = 61.0000, H(p,q)-H0 = 0.0000000021897019, L(p,q)-L0 = 0.0000000000000047
t = 61.1000, H(p,q)-H0 = 0.0000000021894369, L(p,q)-L0 = 0.0000000000000044
t = 61.2000, H(p,q)-H0 = 0.0000000021890715, L(p,q)-L0 = 0.0000000000000044
t = 61.3000, H(p,q)-H0 = 0.0000000021885554, L(p,q)-L0 = 0.0000000000000040
t = 61.4000, H(p,q)-H0 = 0.0000000021878070, L(p,q)-L0 = 0.0000000000000038
t = 61.5000, H(p,q)-H0 = 0.0000000021866884, L(p,q)-L0 = 0.0000000000000034
t = 61.6000, H(p,q)-H0 = 0.0000000021849565, L(p,q)-L0 = 0.0000000000000037
t = 61.7000, H(p,q)-H0 = 0.0000000021821646, L(p,q)-L0 = 0.0000000000000040
t = 61.8000, H(p,q)-H0 = 0.0000000021774544, L(p,q)-L0 = 0.0000000000000036
t = 61.9000, H(p,q)-H0 = 0.0000000021690871, L(p,q)-L0 = 0.0000000000000032
t = 62.0000, H(p,q)-H0 = 0.0000000021533373, L(p,q)-L0 = 0.0000000000000038
t = 62.1000, H(p,q)-H0 = 0.0000000021217116, L(p,q)-L0 = 0.0000000000000032
t = 62.2000, H(p,q)-H0 = 0.0000000020536803, L(p,q)-L0 = 0.0000000000000034
t = 62.3000, H(p,q)-H0 = 0.0000000018971157, L(p,q)-L0 = 0.0000000000000032
t = 62.4000, H(p,q)-H0 = 0.0000000015186385, L(p,q)-L0 = 0.0000000000000027
t = 62.5000, H(p,q)-H0 = 0.0000000006175833, L(p,q)-L0 = 0.0000000000000024
t = 62.6000, H(p,q)-H0 = -0.0000000011113854, L(p,q)-L0 = 0.0000000000000024
t = 62.7000, H(p,q)-H0 = -0.0000000022863662, L(p,q)-L0 = 0.0000000000000024
t = 62.8000, H(p,q)-H0 = -0.0000000003295020, L(p,q)-L0 = 0.0000000000000021
t = 62.9000, H(p,q)-H0 = -0.0000000011398287, L(p,q)-L0 = 0.0000000000000023
t = 63.0000, H(p,q)-H0 = -0.0000000021824698, L(p,q)-L0 = 0.0000000000000022
t = 63.1000, H(p,q)-H0 = -0.0000000004316751, L(p,q)-L0 = 0.0000000000000030
t = 63.2000, H(p,q)-H0 = 0.0000000010195209, L(p,q)-L0 = 0.0000000000000029
t = 63.3000, H(p,q)-H0 = 0.0000000016922781, L(p,q)-L0 = 0.0000000000000033
t = 63.4000, H(p,q)-H0 = 0.0000000019689945, L(p,q)-L0 = 0.0000000000000034
t = 63.5000, H(p,q)-H0 = 0.0000000020846639, L(p,q)-L0 = 0.0000000000000037
t = 63.6000, H(p,q)-H0 = 0.0000000021359661, L(p,q)-L0 = 0.0000000000000042
t = 63.7000, H(p,q)-H0 = 0.0000000021603613, L(p,q)-L0 = 0.0000000000000042
t = 63.8000, H(p,q)-H0 = 0.0000000021727820, L(p,q)-L0 = 0.0000000000000043
t = 63.9000, H(p,q)-H0 = 0.0000000021795151, L(p,q)-L0 = 0.0000000000000044
t = 64.0000, H(p,q)-H0 = 0.0000000021833759, L(p,q)-L0 = 0.0000000000000047
t = 64.1000, H(p,q)-H0 = 0.0000000021857027, L(p,q)-L0 = 0.0000000000000051
t = 64.2000, H(p,q)-H0 = 0.0000000021871673, L(p,q)-L0 = 0.0000000000000051
t = 64.3000, H(p,q)-H0 = 0.0000000021881255, L(p,q)-L0 = 0.0000000000000053
t = 64.4000, H(p,q)-H0 = 0.0000000021887733, L(p,q)-L0 = 0.0000000000000052
t = 64.5000, H(p,q)-H0 = 0.0000000021892246, L(p,q)-L0 = 0.0000000000000051
t = 64.6000, H(p,q)-H0 = 0.0000000021895474, L(p,q)-L0 = 0.0000000000000053
t = 64.7000, H(p,q)-H0 = 0.0000000021897830, L(p,q)-L0 = 0.0000000000000052
t = 64.8000, H(p,q)-H0 = 0.0000000021899583, L(p,q)-L0 = 0.0000000000000048
t = 64.9000, H(p,q)-H0 = 0.0000000021900913, L(p,q)-L0 = 0.0000000000000050
t = 65.0000, H(p,q)-H0 = 0.0000000021901936, L(p,q)-L0 = 0.0000000000000056
t = 65.1000, H(p,q)-H0 = 0.0000000021902724, L(p,q)-L0 = 0.0000000000000054
t = 65.2000, H(p,q)-H0 = 0.0000000021903344, L(p,q)-L0 = 0.0000000000000060
t = 65.3000, H(p,q)-H0 = 0.0000000021903822, L(p,q)-L0 = 0.0000000000000057
t = 65.4000, H(p,q)-H0 = 0.0000000021904196, L(p,q)-L0 = 0.0000000000000056
t = 65.5000, H(p,q)-H0 = 0.0000000021904488, L(p,q)-L0 = 0.0000000000000059
t = 65.6000, H(p,q)-H0 = 0.0000000021904707, L(p,q)-L0 = 0.0000000000000059
t = 65.7000, H(p,q)-H0 = 0.0000000021904865, L(p,q)-L0 = 0.0000000000000061
t = 65.8000, H(p,q)-H0 = 0.0000000021904972, L(p,q)-L0 = 0.0000000000000064
t = 65.9000, H(p,q)-H0 = 0.0000000021905028, L(p,q)-L0 = 0.0000000000000063
t = 66.0000, H(p,q)-H0 = 0.0000000021905041, L(p,q)-L0 = 0.0000000000000064
t = 66.1000, H(p,q)-H0 = 0.0000000021905004, L(p,q)-L0 = 0.0000000000000062
t = 66.2000, H(p,q)-H0 = 0.0000000021904920, L(p,q)-L0 = 0.0000000000000060
t = 66.3000, H(p,q)-H0 = 0.0000000021904784, L(p,q)-L0 = 0.0000000000000058
t = 66.4000, H(p,q)-H0 = 0.0000000021904595, L(p,q)-L0 = 0.0000000000000058
t = 66.5000, H(p,q)-H0 = 0.0000000021904338, L(p,q)-L0 = 0.0000000000000058
t = 66.6000, H(p,q)-H0 = 0.0000000021904004, L(p,q)-L0 = 0.0000000000000057
t = 66.7000, H(p,q)-H0 = 0.0000000021903573, L(p,q)-L0 = 0.0000000000000058
t = 66.8000, H(p,q)-H0 = 0.0000000021903023, L(p,q)-L0 = 0.0000000000000060
t = 66.9000, H(p,q)-H0 = 0.0000000021902322, L(p,q)-L0 = 0.0000000000000064
t = 67.0000, H(p,q)-H0 = 0.0000000021901418, L(p,q)-L0 = 0.0000000000000070
t = 67.1000, H(p,q)-H0 = 0.0000000021900243, L(p,q)-L0 = 0.0000000000000071
t = 67.2000, H(p,q)-H0 = 0.0000000021898695, L(p,q)-L0 = 0.0000000000000067
t = 67.3000, H(p,q)-H0 = 0.0000000021896638, L(p,q)-L0 = 0.0000000000000067
t = 67.4000, H(p,q)-H0 = 0.0000000021893843, L(p,q)-L0 = 0.0000000000000064
t = 67.5000, H(p,q)-H0 = 0.0000000021889982, L(p,q)-L0 = 0.0000000000000064
t = 67.6000, H(p,q)-H0 = 0.0000000021884506, L(p,q)-L0 = 0.0000000000000067
t = 67.7000, H(p,q)-H0 = 0.0000000021876523, L(p,q)-L0 = 0.0000000000000068
t = 67.8000, H(p,q)-H0 = 0.0000000021864515, L(p,q)-L0 = 0.0000000000000066
t = 67.9000, H(p,q)-H0 = 0.0000000021845806, L(p,q)-L0 = 0.0000000000000071
t = 68.0000, H(p,q)-H0 = 0.0000000021815426, L(p,q)-L0 = 0.0000000000000074
t = 68.1000, H(p,q)-H0 = 0.0000000021763747, L(p,q)-L0 = 0.0000000000000079
t = 68.2000, H(p,q)-H0 = 0.0000000021671083, L(p,q)-L0 = 0.0000000000000078
t = 68.3000, H(p,q)-H0 = 0.0000000021494821, L(p,q)-L0 = 0.0000000000000081
t = 68.4000, H(p,q)-H0 = 0.0000000021136843, L(p,q)-L0 = 0.0000000000000075
t = 68.5000, H(p,q)-H0 = 0.0000000020357698, L(p,q)-L0 = 0.0000000000000072
t = 68.6000, H(p,q)-H0 = 0.0000000018546116, L(p,q)-L0 = 0.0000000000000074
t = 68.7000, H(p,q)-H0 = 0.0000000014149373, L(p,q)-L0 = 0.0000000000000071
t = 68.8000, H(p,q)-H0 = 0.0000000003847842, L(p,q)-L0 = 0.0000000000000068
t = 68.9000, H(p,q)-H0 = -0.0000000014401935, L(p,q)-L0 = 0.0000000000000071
t = 69.0000, H(p,q)-H0 = -0.0000000021500677, L(p,q)-L0 = 0.0000000000000071
t = 69.1000, H(p,q)-H0 = -0.0000000000822351, L(p,q)-L0 = 0.0000000000000073
t = 69.2000, H(p,q)-H0 = -0.0000000015604593, L(p,q)-L0 = 0.0000000000000069
t = 69.3000, H(p,q)-H0 = -0.0000000019817259, L(p,q)-L0 = 0.0000000000000071
t = 69.4000, H(p,q)-H0 = -0.0000000001246847, L(p,q)-L0 = 0.0000000000000073
t = 69.5000, H(p,q)-H0 = 0.0000000011766541, L(p,q)-L0 = 0.0000000000000074
t = 69.6000, H(p,q)-H0 = 0.0000000017576444, L(p,q)-L0 = 0.0000000000000072
t = 69.7000, H(p,q)-H0 = 0.0000000019959023, L(p,q)-L0 = 0.0000000000000069
t = 69.8000, H(p,q)-H0 = 0.0000000020963230, L(p,q)-L0 = 0.0000000000000075
t = 69.9000, H(p,q)-H0 = 0.0000000021413751, L(p,q)-L0 = 0.0000000000000075
t = 70.0000, H(p,q)-H0 = 0.0000000021630508, L(p,q)-L0 = 0.0000000000000071
t = 70.1000, H(p,q)-H0 = 0.0000000021742094, L(p,q)-L0 = 0.0000000000000073
t = 70.2000, H(p,q)-H0 = 0.0000000021803188, L(p,q)-L0 = 0.0000000000000078
t = 70.3000, H(p,q)-H0 = 0.0000000021838529, L(p,q)-L0 = 0.0000000000000080
t = 70.4000, H(p,q)-H0 = 0.0000000021859990, L(p,q)-L0 = 0.0000000000000081
t = 70.5000, H(p,q)-H0 = 0.0000000021873595, L(p,q)-L0 = 0.0000000000000084
t = 70.6000, H(p,q)-H0 = 0.0000000021882546, L(p,q)-L0 = 0.0000000000000087
t = 70.7000, H(p,q)-H0 = 0.0000000021888631, L(p,q)-L0 = 0.0000000000000087
t = 70.8000, H(p,q)-H0 = 0.0000000021892885, L(p,q)-L0 = 0.0000000000000082
t = 70.9000, H(p,q)-H0 = 0.0000000021895940, L(p,q)-L0 = 0.0000000000000082
t = 71.0000, H(p,q)-H0 = 0.0000000021898182, L(p,q)-L0 = 0.0000000000000080
t = 71.1000, H(p,q)-H0 = 0.0000000021899852, L(p,q)-L0 = 0.0000000000000078
t = 71.2000, H(p,q)-H0 = 0.0000000021901124, L(p,q)-L0 = 0.0000000000000080
t = 71.3000, H(p,q)-H0 = 0.0000000021902100, L(p,q)-L0 = 0.0000000000000082
t = 71.4000, H(p,q)-H0 = 0.0000000021902857, L(p,q)-L0 = 0.0000000000000081
t = 71.5000, H(p,q)-H0 = 0.0000000021903450, L(p,q)-L0 = 0.0000000000000083
t = 71.6000, H(p,q)-H0 = 0.0000000021903911, L(p,q)-L0 = 0.0000000000000082
t = 71.7000, H(p,q)-H0 = 0.0000000021904273, L(p,q)-L0 = 0.0000000000000083
t = 71.8000, H(p,q)-H0 = 0.0000000021904549, L(p,q)-L0 = 0.0000000000000084
t = 71.9000, H(p,q)-H0 = 0.0000000021904759, L(p,q)-L0 = 0.0000000000000085
t = 72.0000, H(p,q)-H0 = 0.0000000021904909, L(p,q)-L0 = 0.0000000000000088
t = 72.1000, H(p,q)-H0 = 0.0000000021905006, L(p,q)-L0 = 0.0000000000000091
t = 72.2000, H(p,q)-H0 = 0.0000000021905054, L(p,q)-L0 = 0.0000000000000089
t = 72.3000, H(p,q)-H0 = 0.0000000021905058, L(p,q)-L0 = 0.0000000000000088
t = 72.4000, H(p,q)-H0 = 0.0000000021905017, L(p,q)-L0 = 0.0000000000000085
t = 72.5000, H(p,q)-H0 = 0.0000000021904923, L(p,q)-L0 = 0.0000000000000084
t = 72.6000, H(p,q)-H0 = 0.0000000021904779, L(p,q)-L0 = 0.0000000000000083
t = 72.7000, H(p,q)-H0 = 0.0000000021904577, L(p,q)-L0 = 0.0000000000000079
t = 72.8000, H(p,q)-H0 = 0.0000000021904308, L(p,q)-L0 = 0.0000000000000079
t = 72.9000, H(p,q)-H0 = 0.0000000021903962, L(p,q)-L0 = 0.0000000000000083
t = 73.0000, H(p,q)-H0 = 0.0000000021903512, L(p,q)-L0 = 0.0000000000000082
t = 73.1000, H(p,q)-H0 = 0.0000000021902937, L(p,q)-L0 = 0.0000000000000082
t = 73.2000, H(p,q)-H0 = 0.0000000021902204, L(p,q)-L0 = 0.0000000000000087
t = 73.3000, H(p,q)-H0 = 0.0000000021901255, L(p,q)-L0 = 0.0000000000000084
t = 73.4000, H(p,q)-H0 = 0.0000000021900025, L(p,q)-L0 = 0.0000000000000082
t = 73.5000, H(p,q)-H0 = 0.0000000021898401, L(p,q)-L0 = 0.0000000000000078
t = 73.6000, H(p,q)-H0 = 0.0000000021896239, L(p,q)-L0 = 0.0000000000000075
t = 73.7000, H(p,q)-H0 = 0.0000000021893298, L(p,q)-L0 = 0.0000000000000079
t = 73.8000, H(p,q)-H0 = 0.0000000021889204, L(p,q)-L0 = 0.0000000000000075
t = 73.9000, H(p,q)-H0 = 0.0000000021883377, L(p,q)-L0 = 0.0000000000000073
t = 74.0000, H(p,q)-H0 = 0.0000000021874844, L(p,q)-L0 = 0.0000000000000071
t = 74.1000, H(p,q)-H0 = 0.0000000021861942, L(p,q)-L0 = 0.0000000000000072
t = 74.2000, H(p,q)-H0 = 0.0000000021841700, L(p,q)-L0 = 0.0000000000000071
t = 74.3000, H(p,q)-H0 = 0.0000000021808589, L(p,q)-L0 = 0.0000000000000070
t = 74.4000, H(p,q)-H0 = 0.0000000021751795, L(p,q)-L0 = 0.0000000000000072
t = 74.5000, H(p,q)-H0 = 0.0000000021648997, L(p,q)-L0 = 0.0000000000000071
t = 74.6000, H(p,q)-H0 = 0.0000000021451367, L(p,q)-L0 = 0.0000000000000073
t = 74.7000, H(p,q)-H0 = 0.0000000021045369, L(p,q)-L0 = 0.0000000000000068
t = 74.8000, H(p,q)-H0 = 0.0000000020151361, L(p,q)-L0 = 0.0000000000000073
t = 74.9000, H(p,q)-H0 = 0.0000000018052410, L(p,q)-L0 = 0.0000000000000073
t = 75.0000, H(p,q)-H0 = 0.0000000012948249, L(p,q)-L0 = 0.0000000000000078
t = 75.1000, H(p,q)-H0 = 0.0000000001250748, L(p,q)-L0 = 0.0000000000000075
t = 75.2000, H(p,q)-H0 = -0.0000000017463939, L(p,q)-L0 = 0.0000000000000077
t = 75.3000, H(p,q)-H0 = -0.0000000018898960, L(p,q)-L0 = 0.0000000000000077
t = 75.4000, H(p,q)-H0 = 0.0000000000002101, L(p,q)-L0 = 0.0000000000000074
t = 75.5000, H(p,q)-H0 = -0.0000000019155226, L(p,q)-L0 = 0.0000000000000070
t = 75.6000, H(p,q)-H0 = -0.0000000017140065, L(p,q)-L0 = 0.0000000000000071
t = 75.7000, H(p,q)-H0 = 0.0000000001587277, L(p,q)-L0 = 0.0000000000000069
t = 75.8000, H(p,q)-H0 = 0.0000000013130752, L(p,q)-L0 = 0.0000000000000067
t = 75.9000, H(p,q)-H0 = 0.0000000018138380, L(p,q)-L0 = 0.0000000000000069
t = 76.0000, H(p,q)-H0 = 0.0000000020191733, L(p,q)-L0 = 0.0000000000000061
t = 76.1000, H(p,q)-H0 = 0.0000000021065129, L(p,q)-L0 = 0.0000000000000062
t = 76.2000, H(p,q)-H0 = 0.0000000021461557, L(p,q)-L0 = 0.0000000000000064
t = 76.3000, H(p,q)-H0 = 0.0000000021654534, L(p,q)-L0 = 0.0000000000000063
t = 76.4000, H(p,q)-H0 = 0.0000000021754943, L(p,q)-L0 = 0.0000000000000060
t = 76.5000, H(p,q)-H0 = 0.0000000021810461, L(p,q)-L0 = 0.0000000000000062
t = 76.6000, H(p,q)-H0 = 0.0000000021842850, L(p,q)-L0 = 0.0000000000000062
t = 76.7000, H(p,q)-H0 = 0.0000000021862672, L(p,q)-L0 = 0.0000000000000063
t = 76.8000, H(p,q)-H0 = 0.0000000021875317, L(p,q)-L0 = 0.0000000000000063
t = 76.9000, H(p,q)-H0 = 0.0000000021883689, L(p,q)-L0 = 0.0000000000000066
t = 77.0000, H(p,q)-H0 = 0.0000000021889408, L(p,q)-L0 = 0.0000000000000064
t = 77.1000, H(p,q)-H0 = 0.0000000021893423, L(p,q)-L0 = 0.0000000000000061
t = 77.2000, H(p,q)-H0 = 0.0000000021896316, L(p,q)-L0 = 0.0000000000000056
t = 77.3000, H(p,q)-H0 = 0.0000000021898447, L(p,q)-L0 = 0.0000000000000056
t = 77.4000, H(p,q)-H0 = 0.0000000021900042, L(p,q)-L0 = 0.0000000000000053
t = 77.5000, H(p,q)-H0 = 0.0000000021901256, L(p,q)-L0 = 0.0000000000000053
t = 77.6000, H(p,q)-H0 = 0.0000000021902189, L(p,q)-L0 = 0.0000000000000052
t = 77.7000, H(p,q)-H0 = 0.0000000021902914, L(p,q)-L0 = 0.0000000000000053
t = 77.8000, H(p,q)-H0 = 0.0000000021903478, L(p,q)-L0 = 0.0000000000000050
t = 77.9000, H(p,q)-H0 = 0.0000000021903923, L(p,q)-L0 = 0.0000000000000053
t = 78.0000, H(p,q)-H0 = 0.0000000021904266, L(p,q)-L0 = 0.0000000000000052
t = 78.1000, H(p,q)-H0 = 0.0000000021904533, L(p,q)-L0 = 0.0000000000000053
t = 78.2000, H(p,q)-H0 = 0.0000000021904728, L(p,q)-L0 = 0.0000000000000051
t = 78.3000, H(p,q)-H0 = 0.0000000021904870, L(p,q)-L0 = 0.0000000000000053
t = 78.4000, H(p,q)-H0 = 0.0000000021904957, L(p,q)-L0 = 0.0000000000000054
t = 78.5000, H(p,q)-H0 = 0.0000000021904998, L(p,q)-L0 = 0.0000000000000052
t = 78.6000, H(p,q)-H0 = 0.0000000021904992, L(p,q)-L0 = 0.0000000000000050
t = 78.7000, H(p,q)-H0 = 0.0000000021904938, L(p,q)-L0 = 0.0000000000000047
t = 78.8000, H(p,q)-H0 = 0.0000000021904840, L(p,q)-L0 = 0.0000000000000047
t = 78.9000, H(p,q)-H0 = 0.0000000021904688, L(p,q)-L0 = 0.0000000000000047
t = 79.0000, H(p,q)-H0 = 0.0000000021904476, L(p,q)-L0 = 0.0000000000000046
t = 79.1000, H(p,q)-H0 = 0.0000000021904196, L(p,q)-L0 = 0.0000000000000048
t = 79.2000, H(p,q)-H0 = 0.0000000021903832, L(p,q)-L0 = 0.0000000000000050
t = 79.3000, H(p,q)-H0 = 0.0000000021903367, L(p,q)-L0 = 0.0000000000000051
t = 79.4000, H(p,q)-H0 = 0.0000000021902768, L(p,q)-L0 = 0.0000000000000053
t = 79.5000, H(p,q)-H0 = 0.0000000021902007, L(p,q)-L0 = 0.0000000000000060
t = 79.6000, H(p,q)-H0 = 0.0000000021901020, L(p,q)-L0 = 0.0000000000000063
t = 79.7000, H(p,q)-H0 = 0.0000000021899730, L(p,q)-L0 = 0.0000000000000061
t = 79.8000, H(p,q)-H0 = 0.0000000021898033, L(p,q)-L0 = 0.0000000000000062
t = 79.9000, H(p,q)-H0 = 0.0000000021895758, L(p,q)-L0 = 0.0000000000000064
t = 80.0000, H(p,q)-H0 = 0.0000000021892653, L(p,q)-L0 = 0.0000000000000067
t = 80.1000, H(p,q)-H0 = 0.0000000021888316, L(p,q)-L0 = 0.0000000000000064
t = 80.2000, H(p,q)-H0 = 0.0000000021882118, L(p,q)-L0 = 0.0000000000000067
t = 80.3000, H(p,q)-H0 = 0.0000000021872997, L(p,q)-L0 = 0.0000000000000069
t = 80.4000, H(p,q)-H0 = 0.0000000021859120, L(p,q)-L0 = 0.0000000000000072
t = 80.5000, H(p,q)-H0 = 0.0000000021837197, L(p,q)-L0 = 0.0000000000000070
t = 80.6000, H(p,q)-H0 = 0.0000000021801069, L(p,q)-L0 = 0.0000000000000070
t = 80.7000, H(p,q)-H0 = 0.0000000021738561, L(p,q)-L0 = 0.0000000000000070
t = 80.8000, H(p,q)-H0 = 0.0000000021624325, L(p,q)-L0 = 0.0000000000000070
t = 80.9000, H(p,q)-H0 = 0.0000000021402319, L(p,q)-L0 = 0.0000000000000067
t = 81.0000, H(p,q)-H0 = 0.0000000020940939, L(p,q)-L0 = 0.0000000000000060
t = 81.1000, H(p,q)-H0 = 0.0000000019913217, L(p,q)-L0 = 0.0000000000000072
t = 81.2000, H(p,q)-H0 = 0.0000000017478594, L(p,q)-L0 = 0.0000000000000074
t = 81.3000, H(p,q)-H0 = 0.0000000011560892, L(p,q)-L0 = 0.0000000000000074
t = 81.4000, H(p,q)-H0 = -0.0000000001606268, L(p,q)-L0 = 0.0000000000000075
t = 81.5000, H(p,q)-H0 = -0.0000000020080768, L(p,q)-L0 = 0.0000000000000075
t = 81.6000, H(p,q)-H0 = -0.0000000015271278, L(p,q)-L0 = 0.0000000000000080
t = 81.7000, H(p,q)-H0 = -0.0000000000970459, L(p,q)-L0 = 0.0000000000000083
t = 81.8000, H(p,q)-H0 = -0.0000000021650761, L(p,q)-L0 = 0.0000000000000082
t = 81.9000, H(p,q)-H0 = -0.0000000014039563, L(p,q)-L0 = 0.0000000000000080
t = 82.0000, H(p,q)-H0 = 0.0000000004158305, L(p,q)-L0 = 0.0000000000000075
t = 82.1000, H(p,q)-H0 = 0.0000000014310835, L(p,q)-L0 = 0.0000000000000073
t = 82.2000, H(p,q)-H0 = 0.0000000018621674, L(p,q)-L0 = 0.0000000000000064
t = 82.3000, H(p,q)-H0 = 0.0000000020393375, L(p,q)-L0 = 0.0000000000000067
t = 82.4000, H(p,q)-H0 = 0.0000000021154430, L(p,q)-L0 = 0.0000000000000060
t = 82.5000, H(p,q)-H0 = 0.0000000021503953, L(p,q)-L0 = 0.0000000000000060
t = 82.6000, H(p,q)-H0 = 0.0000000021676080, L(p,q)-L0 = 0.0000000000000062
t = 82.7000, H(p,q)-H0 = 0.0000000021766609, L(p,q)-L0 = 0.0000000000000068
t = 82.8000, H(p,q)-H0 = 0.0000000021817133, L(p,q)-L0 = 0.0000000000000069
t = 82.9000, H(p,q)-H0 = 0.0000000021846863, L(p,q)-L0 = 0.0000000000000073
